,id,idade,sexo,anos_estudo,cor/raca,salario,estado_civil,regiao
91,11005108102.0,49,mulher,13.0,Parda,21624.0,1.0,norte
92,11005108103.0,22,homem,12.0,Parda,,0.0,norte
93,11005109102.0,27,homem,9.0,Branca,1671.2000122070312,0.0,norte
94,11005110101.0,22,homem,10.0,Branca,4987.600006103516,0.0,norte
95,11005112101.0,55,homem,5.0,Parda,6249.599609375,1.0,norte
96,11005112102.0,48,mulher,11.0,Parda,6249.599609375,1.0,norte
97,11005112103.0,21,mulher,15.0,Parda,6249.599609375,0.0,norte
98,11005112104.0,40,homem,11.0,Parda,1562.39990234375,0.0,norte
99,11005112105.0,26,mulher,14.0,Parda,6249.599609375,0.0,norte
100,11005113101.0,45,homem,5.0,Parda,1826.0,0.0,norte
101,11006001101.0,33,homem,11.0,Preta,5670.0,1.0,norte
102,11006001102.0,35,mulher,8.0,Parda,5670.0,1.0,norte
103,11006002101.0,50,mulher,6.0,Preta,-1.0,1.0,norte
104,11006002102.0,51,homem,5.0,Parda,,1.0,norte
105,11006002103.0,29,homem,11.0,Parda,4938.1201171875,0.0,norte
106,11006002104.0,29,mulher,10.0,Branca,-1.0,0.0,norte
107,11006003101.0,25,homem,10.0,Parda,10544.400390625,1.0,norte
108,11006003102.0,23,mulher,7.0,Parda,,1.0,norte
109,11006004101.0,27,mulher,10.0,Preta,,1.0,norte
110,11006004102.0,38,homem,7.0,Parda,3030.0,1.0,norte
111,11006005101.0,29,mulher,5.0,Branca,4863.599609375,1.0,norte
112,11006005102.0,28,homem,11.0,Parda,15756.0,1.0,norte
113,11006006102.0,56,mulher,5.0,Parda,,0.0,norte
114,11006006103.0,29,homem,9.0,Parda,2965.7999877929688,0.0,norte
115,11006007101.0,50,mulher,5.0,Parda,,0.0,norte
116,11006007102.0,28,homem,11.0,Parda,7070.0,0.0,norte
117,11006007103.0,27,homem,11.0,Parda,7514.400390625,0.0,norte
118,11006007104.0,24,mulher,12.0,Parda,6241.80029296875,0.0,norte
119,11006007105.0,20,homem,11.0,Parda,3636.0,0.0,norte
120,11006008102.0,44,mulher,5.0,Parda,,0.0,norte
121,11006008103.0,24,homem,6.0,Parda,,0.0,norte
122,11006008104.0,22,mulher,11.0,Parda,,0.0,norte
123,11006008105.0,20,mulher,9.0,Parda,,0.0,norte
124,11006009101.0,57,homem,5.0,Parda,6605.400390625,1.0,norte
125,11006009102.0,47,mulher,5.0,Parda,,1.0,norte
126,11006011101.0,51,homem,11.0,Branca,39449.28125,1.0,norte
127,11006011102.0,45,mulher,9.0,Parda,,1.0,norte
128,11006011103.0,29,homem,8.0,Branca,6060.0,0.0,norte
129,11006011104.0,27,mulher,11.0,Parda,8484.0,0.0,norte
130,11006013101.0,57,homem,5.0,Preta,1100.0,1.0,norte
131,11006013102.0,52,mulher,5.0,Parda,,1.0,norte
132,11006013103.0,29,homem,14.0,Parda,9600.0,0.0,norte
133,11006013104.0,26,mulher,11.0,Parda,5400.0,0.0,norte
134,11006013105.0,24,mulher,11.0,Parda,5880.0,0.0,norte
135,11006013106.0,27,mulher,11.0,Parda,,0.0,norte
136,11007801101.0,34,homem,12.0,Parda,43680.0,1.0,norte
137,11007801102.0,31,mulher,10.0,Branca,,1.0,norte
138,11007802101.0,40,mulher,12.0,Parda,8820.0,0.0,norte
139,11007802102.0,21,homem,11.0,Parda,6702.0,0.0,norte
140,11007802103.0,20,homem,7.0,Parda,721.0,0.0,norte
141,11007804101.0,50,mulher,5.0,Parda,115920.0,0.0,norte
142,11007808101.0,24,homem,8.0,Parda,9090.0,0.0,norte
143,11007810101.0,41,homem,11.0,Branca,7272.0,1.0,norte
144,11007810102.0,38,mulher,5.0,Branca,18815.8798828125,1.0,norte
145,11007811101.0,32,homem,11.0,Parda,15000.0,1.0,norte
146,11007811102.0,31,mulher,11.0,Parda,750.0,1.0,norte
147,11007812101.0,48,homem,5.0,Parda,3020.0,1.0,norte
148,11007812102.0,32,mulher,5.0,Preta,250.0,1.0,norte
149,11008601101.0,30,homem,11.0,Branca,9968.7001953125,1.0,norte
150,11008601102.0,21,mulher,11.0,Branca,8940.08984375,1.0,norte
151,11008603101.0,35,homem,11.0,Parda,9600.0,1.0,norte
152,11008603102.0,33,mulher,11.0,Branca,4930.2001953125,1.0,norte
153,11008604101.0,23,homem,11.0,Parda,3078.47998046875,0.0,norte
154,11008604102.0,60,mulher,5.0,Parda,,0.0,norte
155,11008606101.0,43,mulher,11.0,Branca,1600.0,1.0,norte
156,11008606102.0,51,homem,11.0,Parda,43745.7578125,1.0,norte
157,11008606103.0,26,homem,11.0,Branca,9384.240234375,0.0,norte
158,11008606104.0,20,homem,9.0,Branca,15912.0,0.0,norte
159,11008607101.0,58,homem,11.0,Parda,,1.0,norte
160,11008607102.0,57,mulher,11.0,Parda,122040.0,1.0,norte
161,11008608101.0,40,homem,9.0,Parda,8232.0,1.0,norte
162,11008608102.0,39,mulher,10.0,Branca,,1.0,norte
163,11008609101.0,35,homem,13.0,Preta,11220.0,0.0,norte
164,11008610101.0,44,homem,11.0,Parda,28152.0,1.0,norte
165,11008610102.0,40,mulher,15.0,Preta,25440.0,1.0,norte
166,11008611102.0,20,homem,11.0,Parda,,0.0,norte
167,11008612102.0,29,mulher,11.0,Parda,0.0,0.0,norte
168,11008613101.0,41,homem,15.0,Parda,38784.0,1.0,norte
169,11008613102.0,36,mulher,11.0,Parda,,1.0,norte
170,11009401101.0,38,homem,5.0,Parda,9600.0,1.0,norte
171,11009401102.0,25,mulher,11.0,Parda,7440.0,1.0,norte
172,11009402101.0,30,mulher,8.0,Parda,5940.0,0.0,norte
173,11009403101.0,41,homem,8.0,Parda,7733.8798828125,1.0,norte
174,11009403102.0,35,mulher,7.0,Parda,3600.0,1.0,norte
175,11009404101.0,21,homem,11.0,Branca,9020.639892578125,0.0,norte
176,11009405101.0,32,mulher,14.0,Branca,11309.759765625,0.0,norte
177,11009406101.0,52,homem,5.0,Branca,9706.0,1.0,norte
178,11009406102.0,31,mulher,5.0,Parda,,1.0,norte
179,11009407101.0,59,homem,8.0,Parda,12594.0,1.0,norte
180,11009407102.0,42,mulher,11.0,Preta,6046.800048828125,1.0,norte
181,11009409101.0,48,homem,7.0,Branca,-1.0,0.0,norte
182,11009410101.0,31,homem,5.0,Branca,9504.0,1.0,norte
183,11009410102.0,46,mulher,5.0,Branca,4930.2001953125,1.0,norte
184,11009411101.0,48,mulher,5.0,Branca,7635.599609375,1.0,norte
185,11009411102.0,57,homem,5.0,Preta,7272.0,1.0,norte
186,11009412101.0,27,homem,8.0,Parda,18000.0,1.0,norte
187,11009412102.0,22,mulher,11.0,Parda,5940.0,1.0,norte
188,11009413101.0,60,mulher,5.0,Parda,8484.0,1.0,norte
189,11009413102.0,30,homem,5.0,Preta,3600.0,1.0,norte
190,11009413103.0,44,homem,8.0,Preta,8484.0,0.0,norte
191,11010801103.0,28,homem,8.0,Parda,2797.2001953125,0.0,norte
192,11010801104.0,25,mulher,13.0,Parda,8325.0,0.0,norte
193,11010802101.0,36,homem,11.0,Branca,4042.5,0.0,norte
194,11010802102.0,21,homem,5.0,Branca,28704.0,0.0,norte
195,11010803101.0,44,mulher,5.0,Preta,7632.0,0.0,norte
196,11010803102.0,25,homem,7.0,Parda,8152.0,0.0,norte
197,11010804101.0,57,homem,9.0,Branca,46200.0,0.0,norte
198,11010805101.0,26,homem,11.0,Parda,6600.0,1.0,norte
199,11010805102.0,20,mulher,11.0,Branca,5184.0,1.0,norte
200,11010806101.0,47,homem,6.0,Branca,20352.0,0.0,norte
201,11010807101.0,32,homem,15.0,Indigena,74562.119140625,1.0,norte
202,11010807102.0,26,mulher,15.0,Branca,32503.3203125,1.0,norte
203,11010808101.0,28,homem,15.0,Preta,21696.0,1.0,norte
204,11010808102.0,24,mulher,11.0,Parda,2339.9599990844727,1.0,norte
205,11010809101.0,45,mulher,15.0,Amarela,31188.0,0.0,norte
206,11010810101.0,47,mulher,,Parda,4944.0,0.0,norte
207,11010811101.0,43,mulher,15.0,Branca,48816.0,0.0,norte
208,11010812101.0,37,homem,8.0,Preta,11340.0,0.0,norte
209,11010813101.0,35,mulher,13.0,Parda,21696.0,1.0,norte
210,11010813102.0,39,homem,11.0,Branca,-1.0,1.0,norte
211,11011601101.0,60,homem,15.0,Branca,271200.0,1.0,norte
212,11011601102.0,38,mulher,15.0,Branca,28882.798828125,1.0,norte
213,11011602101.0,40,homem,11.0,Branca,56952.0,1.0,norte
214,11011602102.0,38,mulher,11.0,Branca,1260.0,1.0,norte
215,11011603101.0,60,homem,15.0,Branca,50880.0,1.0,norte
216,11011603102.0,57,mulher,10.0,Parda,,1.0,norte
217,11011603103.0,32,mulher,14.0,Branca,11700.0,0.0,norte
218,11011604103.0,37,homem,11.0,Preta,31392.0,0.0,norte
219,11011608101.0,41,homem,10.0,Parda,12480.0,1.0,norte
220,11011608102.0,37,mulher,14.0,Branca,6240.0,1.0,norte
221,11011608105.0,25,mulher,5.0,Parda,,0.0,norte
222,11011609101.0,43,homem,15.0,Parda,3450.0,0.0,norte
223,11011611101.0,47,homem,5.0,Parda,4095.0,1.0,norte
224,11011611102.0,46,mulher,9.0,Branca,9984.0,1.0,norte
225,11011612101.0,45,homem,15.0,Branca,22488.958984375,1.0,norte
226,11011612102.0,42,mulher,5.0,Branca,22488.958984375,1.0,norte
227,11012401101.0,44,mulher,11.0,Branca,16272.0,0.0,norte
228,11012401102.0,24,homem,11.0,Parda,,0.0,norte
229,11012404101.0,43,homem,8.0,Parda,6801.599609375,1.0,norte
230,11012404102.0,47,mulher,11.0,Parda,8051.400390625,1.0,norte
231,11012406101.0,39,homem,11.0,Branca,-1.0,1.0,norte
232,11012406102.0,31,mulher,5.0,Preta,208.0,1.0,norte
233,11012407101.0,42,homem,5.0,Parda,11340.0,1.0,norte
234,11012407102.0,40,mulher,7.0,Branca,,1.0,norte
235,11012409101.0,58,homem,9.0,Parda,,1.0,norte
236,11012409102.0,49,mulher,5.0,Preta,,1.0,norte
237,11012410101.0,41,homem,15.0,Preta,30426.240234375,1.0,norte
238,11012410102.0,41,mulher,15.0,Parda,48336.0,1.0,norte
239,11012411101.0,43,mulher,11.0,Preta,6930.0,0.0,norte
240,11012412101.0,28,mulher,5.0,Branca,,1.0,norte
241,11012412102.0,27,homem,5.0,Parda,15120.0,1.0,norte
242,11012412106.0,49,homem,5.0,Parda,13860.0,0.0,norte
243,11012413101.0,46,mulher,11.0,Parda,,1.0,norte
244,11012413102.0,54,homem,11.0,Parda,2496.0,1.0,norte
245,11012413103.0,23,homem,6.0,Branca,10533.599609375,0.0,norte
246,11013201101.0,60,homem,12.0,Parda,5670.0,0.0,norte
247,11013201103.0,25,homem,11.0,Parda,871.5,0.0,norte
248,11013201104.0,22,mulher,10.0,Parda,2425.5,0.0,norte
249,11013201105.0,26,homem,11.0,Parda,,0.0,norte
250,11013202101.0,44,mulher,5.0,Branca,0.0,0.0,norte
251,11013202102.0,26,homem,5.0,Branca,3261.2999877929688,0.0,norte
252,11013204101.0,26,homem,15.0,Parda,7660.2001953125,1.0,norte
253,11013204102.0,26,mulher,15.0,Parda,104923.0,1.0,norte
254,11013205101.0,43,homem,15.0,Parda,151200.0,1.0,norte
255,11013205102.0,23,mulher,15.0,Branca,,1.0,norte
256,11013206101.0,42,homem,11.0,Branca,63600.0,0.0,norte
257,11013207101.0,31,homem,15.0,Branca,96245.7578125,1.0,norte
258,11013207102.0,32,mulher,15.0,Branca,174245.765625,1.0,norte
259,11013208101.0,40,mulher,15.0,Parda,37440.0,0.0,norte
260,11013208102.0,24,homem,15.0,Parda,,0.0,norte
261,11013209101.0,43,mulher,15.0,Parda,60153.59765625,1.0,norte
262,11013209102.0,48,homem,15.0,Branca,37800.0,1.0,norte
263,11013209103.0,22,homem,12.0,Branca,,0.0,norte
264,11013210101.0,52,mulher,6.0,Parda,-1.0,0.0,norte
265,11013210102.0,23,mulher,15.0,Parda,4305.599609375,0.0,norte
266,11013211101.0,46,mulher,15.0,Parda,11107.19921875,0.0,norte
267,11013213101.0,52,mulher,5.0,Parda,13200.0,0.0,norte
268,11013213102.0,31,mulher,10.0,Parda,,0.0,norte
269,11013213103.0,29,mulher,12.0,Parda,,0.0,norte
270,11013213104.0,21,homem,5.0,Preta,,0.0,norte
271,11014001101.0,27,mulher,11.0,Branca,6240.0,0.0,norte
272,11014001102.0,24,homem,10.0,Branca,2205.0,0.0,norte
