 0.046972	 0.000488	 0.069530	 0.000476	 0.002216	 0.007116	 0.000551	 0.000243	 0.000066	 0.000056	 0.004435	 0.002590
 0.001240	 0.042035	 0.042861	 0.022741	 0.011707	 0.000249	 0.000412	 0.000339	 0.000097	 0.000545	 0.000269	 0.000375
 0.188306	 0.107185	 0.287923	 0.074347	 0.221788	 0.064127	 0.188324	 0.038021	 0.013476	 0.009722	 0.075408	 0.035467
 0.027166	 0.009748	 0.016094	 0.222411	 0.001296	 0.017412	 0.006371	 0.007556	 0.004364	 0.001263	 0.017860	 0.019042
 0.000601	 0.015092	 0.000914	 0.018668	 0.096064	 0.001443	 0.003505	 0.016089	 0.002833	 0.003456	 0.003857	 0.015304
 0.046284	 0.025292	 0.069151	 0.015546	 0.047360	 0.024111	 0.043554	 0.025128	 0.005952	 0.002667	 0.028789	 0.014426
 0.021798	 0.055911	 0.044744	 0.012601	 0.012265	 0.042981	 0.110251	 0.009955	 0.015539	 0.000995	 0.022357	 0.011572
 0.000236	 0.004235	 0.008038	 0.006214	 0.003084	 0.015649	 0.010044	 0.145276	 0.042614	 0.001985	 0.044594	 0.020537
 0.014395	 0.021471	 0.018744	 0.021537	 0.014069	 0.023959	 0.025284	 0.025274	 0.122638	 0.025550	 0.017202	 0.047471
 0.000046	 0.001070	 0.001823	 0.003789	 0.001897	 0.032111	 0.006923	 0.012583	 0.011825	 0.003245	 0.017886	 0.003343
 0.004057	 0.056182	 0.043136	 0.042868	 0.026738	 0.074690	 0.056160	 0.132729	 0.105474	 0.008128	 0.091359	 0.075343
 0.000908	 0.003178	 0.002818	 0.003982	 0.001372	 0.003960	 0.003937	 0.005935	 0.004740	 0.000393	 0.004362	 0.003484
