latitude,longitude
-23.711865,-46.54358
-23.45807000000001,-46.530429999999996
-23.570320000000002,-46.643683
-23.536549,-46.674378000000004
-23.601743,-46.661976
-23.568073000000002,-46.628083000000004
-23.634125,-46.640394
-23.703433999999998,-46.55155300000001
-23.622518,-46.698459
-23.567538,-46.658443
-23.526004999999998,-46.676297
-23.521273,-46.700399
-23.572333999999998,-46.655112
-23.596705,-46.655875
-23.630916,-46.736519
-23.599579000000002,-46.609584999999996
-23.60251400000001,-46.650319
-23.609953,-46.637948
-23.711865,-46.54358
-23.539713,-46.683808
-23.607344,-46.692365
-23.529367999999998,-46.694319
-23.587432999999997,-46.64485300000001
-23.652317,-46.54593300000001
-23.51538900000001,-46.695428
-23.582313,-46.675599
-23.566078,-46.650739
-23.55565,-46.598493
-23.584668,-46.673369
-23.566995000000002,-46.638673
-23.561497,-46.563441999999995
-23.562598,-46.668343
-23.545583999999998,-46.651824
-23.568073000000002,-46.628083000000004
-23.527882,-46.680323
-23.56366400000001,-46.653651
-23.506868,-46.673567999999996
-23.567527,-46.694327
-23.621084,-46.639653
-23.532086,-46.687402
-23.521273,-46.700399
-23.570396,-46.66017
-23.565825,-46.651195
-23.44269,-46.540017
-23.463068,-46.535782
-23.539713,-46.683808
-23.596705,-46.655875
-23.587922,-46.679424
-23.526004999999998,-46.676297
-23.599579000000002,-46.609584999999996
-23.522813,-46.663579
-23.544729999999998,-46.691026
-23.466552,-46.524627
-23.694235,-46.558854
-23.631755,-46.736798
-23.581659,-46.625827
-23.571497,-46.703694
-23.564767,-46.667013
-23.44269,-46.540017
-23.478118,-46.553841999999996
-23.554607999999998,-46.656953
-23.552478,-46.698648999999996
-23.560053,-46.692714
-23.72301400000001,-46.549448
-23.647624,-46.544923
-23.573327,-46.644149
-23.583468,-46.677059
-23.604982999999997,-46.693719
-23.566689999999998,-46.647887
-23.645623,-46.710739000000004
-23.562739,-46.664757
-23.62695,-46.675121999999995
-23.573348,-46.660443
-23.543126,-46.657577
-23.556676,-46.553743
-23.609613,-46.667685999999996
-23.551003,-46.721636
-23.524623000000002,-46.628845
-23.558522,-46.662265999999995
-23.566149,-46.696040999999994
-23.703433999999998,-46.55155300000001
-23.640255,-46.673716
-23.581488,-46.643848
-23.652317,-46.54593300000001
-23.713329,-46.548175
-23.553043,-46.658743
-23.571428,-46.661163
-23.561488,-46.694369
-23.59061,-46.689686
-23.566123,-46.683964
-23.532743,-46.683273
-23.589018,-46.639168
-23.558418,-46.665507
-23.565397,-46.651534999999996
-23.551378,-46.571383000000004
-23.539713,-46.683808
-23.540588,-46.551603
-23.538535,-46.572855
-23.572625,-46.654173
-23.673196,-46.558455
-23.581498,-46.651137
-23.683398,-46.559492999999996
-23.592966,-46.636663
-23.565438,-46.684831
-23.602738000000002,-46.665139
-23.599324,-46.636733
-23.599324,-46.636733
-23.566463,-46.660348
-23.65405,-46.532755
-23.631848,-46.69143
-23.582843,-46.676149
-23.617385000000002,-46.673592
-23.566078,-46.650739
-23.641739,-46.735405
-23.566682999999998,-46.652089000000004
-23.570384,-46.648632
-23.622518,-46.698459
-23.601743,-46.661976
-23.582313,-46.675599
-23.536791,-46.731799
-23.562744,-46.66950900000001
-23.538713,-46.653178000000004
-23.576488,-46.630878
-23.631778,-46.706474
-23.607344,-46.692365
-23.612888,-46.657649
-23.601743,-46.661976
-23.555497,-46.635921999999994
-23.539713,-46.683808
-23.556570999999998,-46.661628
-23.545583999999998,-46.651824
-23.535337,-46.71002100000001
-23.621084,-46.639653
-23.593583,-46.677951
-23.526004999999998,-46.676297
-23.526466,-46.732492
-23.546619,-46.5996
-23.559038,-46.699104
-23.569717999999998,-46.591853
-23.603538,-46.679051
-23.617385000000002,-46.673592
-23.588168,-46.684669
-23.518763,-46.703556
-23.561497,-46.563441999999995
-23.58789800000001,-46.627263
-23.530974,-46.666709999999995
-23.588168,-46.684669
-23.539288,-46.663579
-23.563636,-46.692945
-23.599579000000002,-46.609584999999996
-23.550686,-46.724861
-23.570396,-46.66017
-23.60251400000001,-46.650319
-23.581559,-46.593978
-23.622518,-46.698459
-23.609717,-46.666031
-23.575896,-46.63120900000001
-23.538362,-46.654753
-23.621448,-46.698861
-23.438833,-46.546198
-23.544693,-46.642938
-23.581559,-46.593978
-23.539713,-46.683808
-23.504514,-46.63945
-23.559665,-46.688887
-23.535337,-46.71002100000001
-23.603848,-46.669809
-23.555163,-46.675637
-23.710034,-46.54867
-23.452876999999997,-46.554838000000004
-23.562598,-46.668343
-23.606238,-46.671741
-23.577233,-46.643008
-23.684864,-46.557578
-23.606275,-46.672114
-23.622518,-46.698459
-23.566463,-46.660348
-23.557076000000002,-46.659126
-23.602738000000002,-46.665139
-23.545463,-46.571203000000004
-23.545182999999998,-46.569722999999996
-23.593343,-46.638518
-23.529028,-46.791134
-23.570396,-46.66017
-23.564767,-46.667013
-23.590495999999998,-46.620145
-23.604013000000002,-46.63625
-23.601412,-46.668554
-23.566288,-46.684349
-23.56026,-46.696531
-23.532163,-46.665713000000004
-23.566457999999997,-46.684809
-23.565516,-46.653507
-23.553043,-46.658743
-23.622076,-46.557473
-23.463068,-46.535782
-23.564788,-46.679889
-23.631755,-46.736798
-23.563856,-46.699127000000004
-23.58108,-46.675809
-23.581498,-46.651137
-23.571497,-46.703694
-23.54901700000001,-46.60426
-23.548898,-46.566565000000004
-23.537343,-46.672148
-23.602473,-46.683779
-23.605563,-46.65943400000001
-23.580888,-46.680954
-23.703433999999998,-46.55155300000001
-23.556598,-46.684444
-23.580433,-46.650403000000004
-23.565587,-46.700163
-23.51725,-46.616683
-23.602473,-46.683779
-23.467404000000002,-46.530657
-23.609717,-46.666031
-23.586969,-46.675993
-23.570396,-46.66017
-23.467404000000002,-46.530657
-23.524928,-46.696094
-23.711147,-46.550585999999996
-23.684864,-46.557578
-23.652317,-46.54593300000001
-23.584801000000002,-46.617894
-23.652317,-46.54593300000001
-23.673196,-46.558455
-23.573313,-46.631888000000004
-23.645623,-46.710739000000004
-23.697426999999998,-46.552528
-23.638605,-46.670262
-23.599579000000002,-46.609584999999996
-23.588973,-46.683344
-23.548898,-46.566565000000004
-23.673196,-46.558455
-23.526004999999998,-46.676297
-23.645164,-46.641049
-23.619035999999998,-46.69699
-23.54901700000001,-46.60426
-23.518763,-46.703556
-23.539713,-46.683808
-23.622076,-46.557473
-23.564253,-46.678809
-23.601648,-46.64689
-23.562598,-46.668343
-23.647204000000002,-46.540258
-23.601743,-46.661976
-23.563579999999998,-46.593718
-23.562063000000002,-46.621878
-23.56259,-46.55999600000001
-23.601714,-46.660466
-23.604008,-46.639238
-23.598448,-46.641063
-23.645623,-46.710739000000004
-23.631778,-46.706474
-23.536791,-46.731799
-23.607255,-46.659554
-23.752953,-46.554751
-23.601743,-46.661976
-23.556570999999998,-46.661628
-23.564703,-46.68533400000001
-23.573313,-46.631888000000004
-23.555163,-46.675637
-23.563243,-46.651973
-23.598448,-46.641063
-23.704514,-46.550163
-23.545897,-46.644531
-23.555332999999997,-46.640218
-23.60251400000001,-46.650319
-23.56157300000001,-46.667282
-23.596055,-46.636846999999996
-23.527613,-46.680605
-23.461336,-46.528558000000004
-23.55565,-46.598493
-23.604013000000002,-46.63625
-23.599878,-46.622738
-23.539713,-46.683808
-23.544693,-46.642938
-23.621084,-46.639653
-23.594852,-46.68594
-23.661519000000002,-46.692366
-23.561497,-46.563441999999995
