,origin_latitude,origin_longitude,destination_latitude,destination_longitude,regiao,date
26048,-19.9522663,-43.9231474,-19.9296359,-43.9393103,Belo Horizonte,2019-05-19 17:21:38.172
5675,-22.971476000000006,-43.18931129999999,-22.984234,-43.210027,Rio - Zona Sul,2019-05-20 12:43:44.864
29826,-23.0111367,-43.4609839,-23.021626,-43.458221,Rio - Barra,2019-05-19 20:00:30.592
34848,-18.9134229,-48.270514,-18.917153,-48.271974,Uberlandia,2019-05-19 11:59:07.185
49121,-23.203127,-45.90739,-23.199798,-45.90860900000001,Sao Jose Dos Campos,2019-05-20 19:38:32.665
11358,-22.856212,-47.067248,-22.8991227,-47.07903579999999,Campinas,2019-05-19 13:46:33.719
33649,-23.1996761,-46.889651,-23.18716,-46.912857,Jundiai,2019-05-20 13:13:05.246
13646,-3.736217,-38.496768,-3.7597661,-38.4859979,Fortaleza,2019-05-20 19:22:55.998
41113,-15.614394199999998,-56.0738965,-15.604644,-56.05984599999999,Cuiaba,2019-05-20 18:48:37.701
9132,-23.532595800000006,-46.6879093,-23.559091100000003,-46.698311,Sao Paulo,2019-05-19 12:35:57.627
36701,-22.9298255,-43.1778402,-22.9337914,-43.1756102,Rio - Zona Sul,2019-05-19 18:56:26.559
44186,-12.909162,-38.351732,-12.91149,-38.36985,Salvador,2019-05-20 12:30:51.392
3657,-12.9817061,-38.4646255,-12.997799,-38.464009,Salvador,2019-05-19 13:53:53.847
15501,-23.584238,-46.675065,-23.565531,-46.693468,Sao Paulo,2019-05-20 13:29:43.090
32349,-15.817806,-47.836561,-15.750082,-47.871617,Brasilia,2019-05-20 12:42:45.514
12753,-23.418971,-51.931674,-23.441651,-51.928749,Maringa,2019-05-20 12:43:35.863
28384,-23.3111941,-51.1569911,-23.302056,-51.178862,Londrina,2019-05-19 18:34:55.268
23510,-1.460399,-48.493905,-1.448565,-48.478061,Belem,2019-05-20 17:23:07.694
2993,-23.44633,-51.932511,-23.422636,-51.942655,Maringa,2019-05-20 19:32:31.609
24196,-27.584587,-48.546453,-27.581018,-48.525952,Florianopolis,2019-05-19 11:42:21.885
20471,-29.171342,-51.160891,-29.163608,-51.174981,Caxias Do Sul,2019-05-20 11:35:34.710
34592,-23.204379,-45.908538,-23.227137,-45.922634,Sao Jose Dos Campos,2019-05-20 11:55:39.643
47502,-3.738980600000001,-38.5401669,-3.729031,-38.530567,Fortaleza,2019-05-20 15:15:04.793
1837,-30.025568,-51.162164,-30.037287,-51.201202,Porto Alegre,2019-05-20 13:07:04.445
37323,-23.682963,-46.676686,-23.682131,-46.683075,Sao Paulo,2019-05-20 21:48:02.005
3401,-22.9836709,-43.2110573,-22.974177,-43.2295906,Rio - Zona Sul,2019-05-19 15:46:01.209
3020,-8.031792,-34.878075,-8.030218,-34.910344,Recife,2019-05-19 12:49:49.019
15559,-23.510749,-46.658687,-23.553045,-46.657281,Sao Paulo,2019-05-19 12:10:51.854
389,-3.775543700000001,-38.5619871,-3.784911,-38.579462,Fortaleza,2019-05-20 19:08:42.462
5003,-19.961987,-43.946375,-19.9810218,-43.94071779999999,Belo Horizonte,2019-05-19 20:27:07.319
44793,-19.914224,-43.980566,-19.8944728,-43.9410284,Belo Horizonte,2019-05-19 19:50:03.346
29321,-22.983984,-43.210772,-22.968987,-43.189679,Rio - Zona Sul,2019-05-19 15:57:20.429
9807,-23.5725778,-46.69569620000001,-23.591183,-46.683819,Sao Paulo,2019-05-19 11:08:12.546
46674,-10.93264,-37.070101,-10.932221,-37.050917,Aracaju,2019-05-19 14:51:01.063
49972,-12.965041,-38.46347,-12.9750961,-38.4814616,Salvador,2019-05-19 20:55:34.715
36670,-15.768815,-47.887244,-15.788264000000002,-47.887907,Brasilia,2019-05-19 21:34:47.675
36737,-23.3308668,-51.170153000000006,-23.314395,-51.169949,Londrina,2019-05-19 19:35:20.281
12771,-12.969988,-38.481,-12.963065,-38.49952800000001,Salvador,2019-05-19 17:24:10.244
19962,-1.454774,-48.489406,-1.439824,-48.482547,Belem,2019-05-19 12:20:16.153
29009,-23.6102767,-46.6666325,-23.600403,-46.662169,Sao Paulo,2019-05-20 17:18:21.126
39689,-25.4504158,-49.2771528,-25.452683,-49.268427,Curitiba,2019-05-20 11:48:21.616
46201,-30.046039,-51.197086,-30.034236,-51.233986,Porto Alegre,2019-05-19 11:02:53.743
40387,-21.211629,-47.81414,-21.174834,-47.8379841,Ribeirao Preto,2019-05-20 20:13:52.112
1004,-12.936709,-38.394897,-12.941237,-38.404448,Salvador,2019-05-19 19:11:14.729
21860,-23.322989,-51.143813,-23.32419,-51.154933,Londrina,2019-05-20 20:26:19.341
45841,-23.5403439,-46.5953863,-23.570823,-46.644923,Sao Paulo,2019-05-19 21:19:56.726
10292,-16.701060000000002,-49.256588,-16.683265,-49.269178,Goiania,2019-05-19 16:17:04.492
5051,-23.6207116,-46.639536,-23.621636,-46.638627,Sao Paulo,2019-05-20 12:57:04.948
24717,-23.7044982,-46.6175998,-23.697763,-46.617435,Abc,2019-05-19 12:48:32.899
45973,-22.9114214,-43.1092297,-22.8809396,-43.0851666,Niteroi,2019-05-19 14:32:16.818
33096,-3.755296,-38.516772,-3.75316,-38.520463,Fortaleza,2019-05-19 14:40:05.897
49690,-23.557518,-46.745298,-23.5571608,-46.750557,Sao Paulo,2019-05-19 18:10:13.184
32581,-23.4162608,-51.9549403,-23.452262,-51.943488,Maringa,2019-05-20 11:35:34.997
2211,-12.997222,-38.444393,-12.9958479,-38.453138,Salvador,2019-05-20 21:36:48.289
47147,-23.510749,-46.658687,-23.480289000000006,-46.608206,Sao Paulo,2019-05-19 12:20:20.771
